Time,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,ActivityLabel
33179,-9.582285714285716,-1.1188571428571432,0.3171428571428572,-0.1251428571428571,0.06400000000000006,-0.02742857142857144,0
33199,-9.460857142857146,-1.034571428571429,0.4294285714285715,-0.12742857142857142,0.03000000000000004,-0.026285714285714298,0
33219,-9.393714285714282,-1.0331428571428565,0.49885714285714267,-0.12685714285714278,0.01599999999999998,-0.026571428571428555,0
33239,-9.358571428571423,-1.1179999999999994,0.5551428571428568,-0.1305714285714285,0.03399999999999999,-0.03257142857142856,0
33259,-9.444857142857138,-1.257428571428571,0.474285714285714,-0.11171428571428567,0.03914285714285713,-0.025714285714285703,0
33279,-9.55885714285714,-1.3151428571428565,0.43228571428571405,-0.06828571428571426,0.0039999999999999975,-0.012571428571428563,0
33299,-9.463714285714282,-1.2751428571428567,0.4594285714285712,-0.04857142857142854,-0.032285714285714286,4.336808689942018e-18,0
33319,-9.279714285714281,-1.203714285714285,0.5479999999999998,-0.05657142857142854,-0.020571428571428567,-0.0008571428571428536,0
33339,-9.251428571428567,-1.1894285714285708,0.5511428571428569,-0.0657142857142857,0.01542857142857143,-0.009142857142857137,0
33359,-9.40428571428571,-1.2091428571428564,0.46885714285714264,-0.05085714285714284,0.019999999999999997,-0.02085714285714285,0
33379,-9.477714285714281,-1.2039999999999993,0.3822857142857141,-0.03428571428571427,-0.0014285714285714284,-0.02828571428571427,0
33399,-9.43828571428571,-1.1562857142857135,0.37199999999999983,-0.026571428571428555,-0.018571428571428565,-0.03085714285714284,0
33419,-9.371999999999995,-1.173999999999999,0.4285714285714283,-0.021714285714285707,-0.02399999999999999,-0.02999999999999998,0
33439,-9.351142857142852,-1.3191428571428565,0.471142857142857,-0.009999999999999998,-0.019142857142857135,-0.02999999999999998,0
33459,-9.381999999999994,-1.4579999999999993,0.34371428571428553,0.015999999999999993,-0.003428571428571423,-0.031714285714285695,0
33479,-9.444571428571425,-1.525714285714285,0.2628571428571427,0.043142857142857136,-0.0008571428571428536,-0.026571428571428562,0
33499,-9.446571428571424,-1.441714285714285,0.3139999999999998,0.04742857142857141,-0.010857142857142857,-0.009142857142857137,0
33519,-9.353999999999994,-1.3079999999999992,0.4505714285714284,0.03857142857142855,-0.002285714285714293,0.004857142857142861,0
33539,-9.27228571428571,-1.1674285714285708,0.4334285714285713,0.03485714285714284,0.02228571428571427,0.002571428571428574,0
33559,-9.240571428571425,-1.1211428571428566,0.42714285714285694,0.02999999999999999,0.05599999999999998,-0.009999999999999995,0
33579,-9.227428571428568,-1.1262857142857137,0.3542857142857141,0.008285714285714278,0.07399999999999997,-0.01999999999999999,0
33599,-9.153714285714281,-1.1634285714285708,0.24828571428571417,-0.004000000000000003,0.08257142857142853,-0.02999999999999998,0
33619,-9.093714285714281,-1.244571428571428,0.14028571428571418,-0.006000000000000002,0.07999999999999996,-0.03914285714285712,0
33639,-9.219999999999995,-1.348571428571428,0.1188571428571428,0.006857142857142855,0.07999999999999996,-0.05342857142857141,0
33659,-9.390857142857138,-1.4342857142857135,0.09685714285714284,0.015714285714285712,0.07571428571428566,-0.06399999999999997,0
33679,-9.26171428571428,-1.5297142857142847,-0.008857142857142827,0.004857142857142862,0.08942857142857139,-0.0734285714285714,0
33698,-8.677428571428567,-1.6608571428571421,-0.20457142857142852,-0.02399999999999999,0.12742857142857136,-0.09171428571428566,0
33718,-8.13428571428571,-1.646857142857142,-0.30742857142857133,-0.03999999999999999,0.15799999999999995,-0.13171428571428564,0
33739,-8.155428571428565,-1.4682857142857135,-0.2457142857142856,-0.025714285714285696,0.18971428571428564,-0.1631428571428571,0
33759,-8.894571428571425,-1.3322857142857134,-0.16514285714285698,-0.013428571428571404,0.23057142857142848,-0.17257142857142851,0
33779,-9.485999999999997,-1.4022857142857135,-0.3828571428571427,-0.04685714285714282,0.24799999999999986,-0.16571428571428562,0
33799,-9.127428571428567,-1.563714285714285,-0.6228571428571426,-0.14942857142857136,0.23628571428571415,-0.19371428571428564,0
33819,-8.313714285714282,-1.805714285714285,-0.6488571428571426,-0.22171428571428564,0.24571428571428555,-0.25228571428571417,0
33839,-8.098571428571425,-1.9705714285714275,-0.4931428571428569,-0.20342857142857135,0.28828571428571415,-0.3048571428571427,0
33859,-8.403714285714283,-1.9062857142857133,-0.5088571428571426,-0.16285714285714276,0.3257142857142855,-0.3225714285714284,0
33879,-8.214857142857138,-1.693999999999999,-0.6214285714285711,-0.24057142857142844,0.39714285714285696,-0.3417142857142855,0
33899,-7.801999999999995,-1.825999999999999,-0.7548571428571424,-0.34828571428571414,0.4965714285714284,-0.39857142857142835,0
33919,-7.99628571428571,-2.17942857142857,-0.9317142857142854,-0.3488571428571427,0.5345714285714284,-0.45885714285714263,0
33939,-8.455999999999996,-2.2099999999999986,-1.0139999999999996,-0.29171428571428554,0.40171428571428547,-0.4757142857142854,0
33959,-7.981714285714283,-1.9114285714285704,-0.7491428571428567,-0.3142857142857141,0.26542857142857124,-0.45771428571428546,0
33979,-7.058857142857139,-1.980285714285713,-0.5808571428571425,-0.33914285714285697,0.34628571428571403,-0.46514285714285697,0
33999,-7.465714285714281,-2.420285714285713,-0.7662857142857138,-0.2508571428571428,0.6408571428571426,-0.49657142857142833,0
34019,-9.601142857142852,-2.6325714285714272,-1.146285714285714,-0.14657142857142846,0.8057142857142854,-0.49828571428571405,0
34039,-11.649999999999995,-2.7051428571428557,-1.344571428571428,-0.1348571428571428,0.573142857142857,-0.4171428571428569,0
34059,-11.553142857142852,-2.9159999999999986,-1.2105714285714282,-0.15057142857142852,0.041999999999999926,-0.2937142857142856,0
34079,-9.53228571428571,-2.9014285714285704,-0.5048571428571426,-0.08314285714285713,-0.34285714285714286,-0.1874285714285713,0
34099,-7.649428571428568,-2.370571428571427,0.20514285714285732,0.05171428571428571,-0.2422857142857143,-0.1468571428571428,0
34119,-7.709999999999996,-1.759999999999999,0.0008571428571430006,0.14028571428571424,0.13799999999999998,-0.1365714285714285,0
34139,-8.791999999999996,-1.6354285714285703,-0.682285714285714,0.12257142857142853,0.3108571428571428,-0.11399999999999996,0
34159,-9.334571428571424,-1.9154285714285704,-1.006285714285714,0.04428571428571425,0.2097142857142856,-0.0517142857142857,0
34179,-9.237428571428566,-2.3045714285714274,-0.8517142857142852,0.004285714285714261,0.1399999999999999,0.0317142857142857,0
34199,-9.299999999999994,-2.5688571428571416,-0.8782857142857138,0.03342857142857139,0.15714285714285708,0.09314285714285711,0
34219,-9.282571428571424,-2.5497142857142845,-1.0519999999999996,0.1108571428571428,0.030857142857142847,0.12428571428571424,0
34239,-8.893714285714282,-2.018285714285713,-1.2562857142857138,0.17399999999999993,-0.10885714285714287,0.12828571428571423,0
