Time,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,ActivityLabel
61814,-9.286285714285722,-1.8202857142857145,-0.5468571428571428,-0.020000000000000004,-0.006857142857142864,-0.0020000000000000005,0
61834,-9.31285714285715,-1.8028571428571432,-0.5865714285714286,-0.024000000000000007,-0.006571428571428579,-0.004000000000000002,0
61854,-9.343714285714281,-1.8097142857142847,-0.6091428571428569,-0.027999999999999987,-0.009142857142857137,-0.005999999999999997,0
61873,-9.401142857142853,-1.8459999999999992,-0.6251428571428568,-0.03285714285714284,-0.01828571428571428,-0.0065714285714285675,0
61894,-9.367142857142852,-1.8614285714285703,-0.5734285714285712,-0.030571428571428555,-0.022571428571428562,-0.011714285714285712,0
61914,-9.350571428571422,-1.8765714285714277,-0.508285714285714,-0.03428571428571427,-0.01571428571428571,-0.007428571428571426,0
61934,-9.297999999999995,-1.8408571428571419,-0.5008571428571426,-0.03085714285714284,-0.0025714285714285696,-0.0025714285714285696,0
61954,-9.36171428571428,-1.815999999999999,-0.5485714285714283,-0.023999999999999987,0.009999999999999998,0.001714285714285716,0
61976,-9.396571428571423,-1.7925714285714278,-0.629428571428571,-0.016857142857142845,0.009999999999999998,-0.0025714285714285696,0
61996,-9.351428571428565,-1.8211428571428563,-0.6679999999999997,-0.01999999999999999,-0.0025714285714285696,-0.007428571428571426,0
62015,-9.289142857142851,-1.8134285714285705,-0.6208571428571426,-0.021428571428571415,-0.01571428571428571,-0.010857142857142853,0
62036,-9.292571428571422,-1.819714285714285,-0.5239999999999998,-0.0237142857142857,-0.022571428571428562,-0.009999999999999995,0
62056,-9.31485714285714,-1.8485714285714279,-0.5182857142857139,-0.014571428571428562,-0.01742857142857142,-0.009999999999999995,0
62076,-9.349428571428565,-1.8534285714285708,-0.5579999999999997,-0.011999999999999993,-0.012571428571428563,-0.010857142857142853,0
62096,-9.345142857142852,-1.825142857142856,-0.5565714285714283,-0.0031428571428571356,-0.009142857142857137,-0.007428571428571426,0
62116,-9.360285714285709,-1.827714285714285,-0.5717142857142855,-0.015142857142857135,-0.009999999999999995,-0.0025714285714285696,0
62136,-9.347142857142853,-1.8034285714285705,-0.5374285714285711,-0.027428571428571413,-0.009142857142857137,0.001714285714285716,0
62156,-9.334857142857139,-1.764857142857142,-0.5259999999999997,-0.039142857142857125,-0.012571428571428563,-0.0025714285714285696,0
62176,-9.303999999999995,-1.7405714285714278,-0.550285714285714,-0.043428571428571414,-0.01742857142857142,-0.0065714285714285675,0
62196,-9.34028571428571,-1.7802857142857136,-0.5731428571428568,-0.03228571428571427,-0.022571428571428562,-0.013428571428571422,0
62216,-9.36628571428571,-1.8019999999999992,-0.5499999999999998,-0.017714285714285703,-0.014857142857142852,-0.01742857142857142,0
62236,-9.341428571428567,-1.8197142857142847,-0.4874285714285712,-0.007428571428571421,-0.005999999999999997,-0.02085714285714285,0
